v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
0.000	0.000	0.324123	0.460876	0.000037	9.999999	9.999999	0.00	0.01	95.00 !	0.00	2000	1.3783	12.584	6.581
0.100	0.032	0.274825	0.414246	0.119275	9.999999	9.999999	6.63	20.47	95.00 !	7.70	2000	1.2389	10.670	5.915
0.200	0.064	0.324908	0.461635	0.233437	9.999999	9.999999	14.08	33.87	85.00 !	15.41	2000	1.3806	12.614	6.592
0.300	0.095	0.332129	0.470873	0.348771	9.397331	9.999999	21.16	45.31	85.00 !	23.11	2000	1.4082	12.894	6.724
0.400	0.127	0.337141	0.481378	0.462981	5.365773	9.999999	28.01	54.30	85.00 !	30.81	2000	1.4397	13.089	6.874
0.500	0.159	0.341798	0.493838	0.575775	3.481525	9.999999	34.61	61.34	69.00	38.52	2000	1.4769	13.270	7.052
0.600	0.191	0.351184	0.495524	0.690460	2.484120	5.841858	42.52	66.61	47.00	46.22	2000	1.4820	13.634	7.076
0.700	0.223	0.361045	0.498064	0.804713	1.876315	3.697698	50.74	70.73	33.00	53.92	2000	1.4896	14.017	7.112
0.800	0.255	0.355107	0.509849	0.915381	1.412925	2.535779	55.72	74.74	17.00	61.63	2000	1.5248	13.786	7.280
0.900	0.286	0.347280	0.510879	1.029387	1.091780	1.784559	61.18	78.09	0.00	69.33	2000	1.5279	13.483	7.295
1.000	0.318	0.337473	0.498298	1.149482	0.859368	1.268906	67.73	80.93	0.00	77.03	2000	1.4903	13.102	7.115
1.100	0.350	0.314280	0.484119	1.271752	0.661412	0.926220	71.41	83.83	0.00	84.74	2000	1.4479	12.201	6.913
1.200	0.382	0.287861	0.462651	1.400008	0.509051	0.681789	74.66	86.42	0.00	92.44	2000	1.3836	11.176	6.606
1.300	0.414	0.258693	0.434266	1.536003	0.389796	0.503345	77.44	88.73	0.00	100.14	2000	1.2988	10.043	6.201
1.400	0.446	0.225929	0.396832	1.684251	0.293532	0.368267	79.71	90.85	0.00	107.85	2000	1.1868	8.771	5.667
1.500	0.477	0.191630	0.353062	1.847231	0.216881	0.266389	81.42	92.75	0.00	115.55	2000	1.0559	7.440	5.042
1.600	0.509	0.156537	0.303725	2.030597	0.155710	0.188826	82.46	94.44	0.00	123.25	2000	0.9083	6.077	4.337
1.700	0.541	0.120477	0.248472	2.245915	0.106156	0.128787	82.43	95.96	0.00	130.96	2000	0.7431	4.677	3.548
1.720	0.547	0.113133	0.236671	2.294559	0.097381	0.118441	82.22	96.25	0.00	132.50	2000	0.7078	4.392	3.380
1.740	0.554	0.105732	0.224595	2.345681	0.088930	0.108566	81.91	96.54	0.00	134.04	2000	0.6717	4.105	3.207
1.760	0.560	0.098215	0.212139	2.399875	0.080741	0.099088	81.48	96.82	0.00	135.58	2000	0.6344	3.813	3.029
1.780	0.567	0.090739	0.199569	2.456979	0.072928	0.090110	80.93	97.09	0.00	137.12	2000	0.5968	3.523	2.850
1.800	0.573	0.083214	0.186733	2.517840	0.065402	0.081535	80.21	97.36	0.00	138.66	2000	0.5585	3.231	2.666
1.820	0.579	0.075647	0.173641	2.583098	0.058155	0.073346	79.29	97.62	0.00	140.20	2000	0.5193	2.937	2.480
1.840	0.586	0.068035	0.160285	2.653624	0.051172	0.065521	78.10	97.89	0.00	141.74	2000	0.4794	2.641	2.289
1.860	0.592	0.060394	0.146691	2.730436	0.044454	0.058050	76.58	98.14	0.00	143.28	2000	0.4387	2.345	2.095
1.880	0.598	0.052684	0.132791	2.815297	0.037958	0.050890	74.59	98.40	0.00	144.82	2000	0.3971	2.045	1.896
1.900	0.605	0.044955	0.118668	2.909958	0.031711	0.044057	71.98	98.64	0.00	146.36	2000	0.3549	1.745	1.695
1.920	0.611	0.037160	0.104239	3.017834	0.025669	0.037503	68.45	98.89	0.00	147.90	2000	0.3117	1.443	1.488
1.940	0.618	0.029342	0.089576	3.143138	0.019853	0.031241	63.55	99.13	0.00	149.44	2000	0.2679	1.139	1.279
1.960	0.624	0.021478	0.074643	3.293502	0.014237	0.025244	56.40	99.37	0.00	150.99	2000	0.2232	0.834	1.066
1.980	0.630	0.013430	0.059166	3.485387	0.008723	0.019410	44.94	99.61	0.00	152.53	2000	0.1769	0.521	0.845
2.000	0.637	0.005283	0.043300	3.747426	0.003363	0.013783	24.40	99.85	0.00	154.07	2000	0.1295	0.205	0.618
2.020	0.643	-0.002659	0.027652	4.140065	-0.001659	0.008543	0.00	99.99	0.00	155.61	2000	0.0827	-0.103	0.395
2.040	0.649	-0.010691	0.011640	4.970947	-0.006542	0.003491	0.00	99.99	0.00	157.15	2000	0.0348	-0.415	0.166
2.060	0.656	-0.018818	-0.004751	6.004899	-0.011292	-0.001384	0.14	46.73	0.00	158.69	2000	-0.0142	-0.731	-0.068
